,Aspen,longitude,lattitude
19122,1,-108.7262291,38.74940876
3357,1,-107.429628,40.93669083
20849,1,-104.5737384,37.05168835
12495,1,-105.0820284,38.68422353
11368,1,-105.4071901,37.47139907
1941,1,-106.4507417,37.13896625
6778,1,-106.7557332,36.28707593
1463,1,-105.860847,40.85018258
12917,1,-107.4308316,39.3416733
20990,1,-106.5689708,40.0024547
19425,1,-106.3037377,37.15551912
11808,1,-106.481848,38.62868206
12976,1,-106.2600772,40.46885718
967,1,-106.8157976,38.79067413
15136,1,-105.1033398,37.99921022
968,1,-107.2281174,39.41277198
15598,1,-106.9402439,37.77612468
21285,1,-107.8635963,38.96122739
3933,1,-107.4959445,37.94653722
9453,1,-106.4021052,36.57113934
18147,1,-105.7391877,39.66511676
17872,1,-105.0517232,37.22345915
1282,1,-108.0747417,37.66170033
17136,1,-106.9941122,38.65714754
17840,1,-108.3900975,37.90820181
9318,1,-107.2130594,38.55149156
12920,1,-106.8883326,37.10650031
21317,1,-107.9762841,37.1796903
4008,1,-106.2766832,41.57638127
20179,1,-107.9569923,37.52393552
21291,1,-106.9366007,40.36875344
5827,1,-106.3162385,36.85025052
13457,1,-107.6029334,39.87035606
16468,1,-107.4575697,38.94718307
8631,1,-106.5652688,38.28230385
17945,1,-107.4314707,40.7396173
198,1,-106.4614393,37.06306668
3773,1,-108.0176706,38.0063976
7984,1,-105.0080114,37.42567009
18675,1,-106.8114896,37.31318101
10994,1,-108.1298859,38.25255874
5272,1,-107.1115129,39.13862931
4987,1,-105.2764519,37.30036405
8249,1,-105.3389485,36.24754982
124,1,-105.3815861,40.3851539
4361,1,-106.8825599,40.1571545
10773,1,-106.913943,40.45329986
16946,1,-108.1609556,37.7221628
16180,1,-105.5216653,39.93419238
757,1,-106.5919486,39.16365608
4266,1,-106.825631,37.49674759
2861,1,-106.9346109,41.19345516
9499,1,-107.0648173,38.78261935
19084,1,-104.5810337,36.96661812
14197,1,-108.3276865,37.90999833
7823,1,-106.5243263,41.68325989
10231,1,-107.5083652,37.46745337
17939,1,-105.4211744,39.1354487
7635,1,-105.6010114,35.91160258
7472,1,-106.7800172,39.76522985
9835,1,-106.2808361,40.16398006
5439,1,-106.1459048,37.04706865
1698,1,-105.3236986,36.84383105
17017,1,-108.4546821,38.55830692
5559,1,-106.3862762,37.42336476
18935,1,-106.4599996,37.88517166
6722,1,-107.4117797,38.42157924
10258,1,-106.3551463,38.83269461
5629,1,-106.4101476,37.1781596
20206,1,-105.1964767,39.56758952
14285,1,-106.8509469,39.95605835
17812,1,-107.2286047,37.32974741
21131,1,-107.7375357,38.89700235
512,1,-105.9550762,40.57507185
91,1,-105.4393537,37.54608832
14368,1,-108.2689677,37.647433
19310,1,-105.0104671,37.23970936
13784,1,-106.3990583,39.89449656
18440,1,-108.0125684,37.32351461
16358,1,-107.2226695,38.12700102
11937,1,-105.6025417,39.28059914
9629,1,-108.0042745,39.00953841
7194,1,-106.3810677,41.11292375
9434,1,-108.0139217,39.09198088
10947,1,-107.5968592,37.34950516
1926,1,-105.5753714,38.23605103
3079,1,-108.1064272,38.19441733
11679,1,-105.3234639,40.49414404
3670,1,-106.8827631,39.59136
11986,1,-107.3349913,39.35172025
1287,1,-106.4835605,35.81074606
3041,1,-106.7059044,38.9965442
8402,1,-108.1143837,38.25478716
2902,1,-107.1522351,40.63344085
13208,1,-107.1197441,37.172691
6014,1,-105.0594513,37.34824613
14996,1,-106.3574357,37.47256496
7294,1,-108.4749345,37.82100426
14025,1,-104.950073,37.37928957
3566,1,-106.146996,38.34101339
17831,1,-104.8757647,37.5001381
437,1,-105.9403859,40.22141182
3165,1,-105.6973962,38.78831301
9630,1,-106.8264735,38.11713652
12507,1,-107.0932466,38.0662536
14893,1,-105.0905346,38.70364788
6311,1,-106.8256891,37.6670656
7317,1,-106.9492891,39.16089178
9492,1,-107.6891454,39.12440902
6511,1,-106.7471777,36.94429909
7219,1,-105.3795759,39.98392463
14321,1,-106.4562688,36.96792517
3759,1,-106.3679379,36.79614409
5015,1,-106.4972415,40.2502248
16630,1,-107.4046877,39.03115169
5885,1,-107.5960297,39.01945666
21382,1,-106.7257603,37.28388422
13319,1,-106.4745533,36.71529183
17193,1,-105.1172935,36.29557086
3681,1,-107.134259,40.64662347
2673,1,-106.0022976,41.12902848
21499,1,-104.9232674,39.17410468
18037,1,-105.5968312,36.06324213
18099,1,-105.2169204,40.48940855
5186,1,-106.4991123,37.79539717
19204,1,-105.7035384,35.75341328
16254,1,-107.2130491,37.13025565
8668,1,-105.6586659,38.08134727
9904,1,-107.4883962,39.85005968
3293,1,-106.1091355,41.36388885
20707,1,-106.5004578,35.77718366
15723,1,-105.3518496,39.50848713
6505,1,-107.0440912,37.3597818
14980,1,-106.9752768,39.88518704
3002,1,-106.6250535,37.52007897
5594,1,-106.3281101,36.4975274
11137,1,-105.2256956,39.55608027
9740,1,-107.4899518,40.16206585
7625,1,-106.3664602,37.25109873
21277,1,-107.4511718,39.61294948
9541,1,-105.032463,36.40939352
9071,1,-107.2194217,41.09337296
1228,1,-105.3913662,36.1841449
20188,1,-106.7913386,40.80451547
4094,1,-107.3264886,37.70608137
17106,1,-105.4549076,37.5648009
9320,1,-106.5903541,38.7796753
12028,1,-106.1525676,40.39407703
15418,1,-106.4031972,37.31896593
965,1,-107.8606014,38.06696675
16749,1,-106.639577,40.98382105
15147,1,-107.4458323,37.45041388
6255,1,-107.1754257,39.73700609
21352,1,-107.2354141,40.24130335
11839,1,-106.7735396,40.70115206
7378,1,-106.8793941,38.82530824
5904,1,-106.842374,41.14467159
10218,1,-105.7751906,42.57328795
8604,1,-108.738285,37.80777532
7965,1,-108.552998,38.55214568
18638,1,-106.3976619,38.7329428
19014,1,-107.4985968,39.34503087
2918,1,-107.3245082,39.2542732
16422,1,-106.1020756,39.63384002
10732,1,-105.9902436,39.75074618
8584,1,-105.8595373,40.72741194
8471,1,-108.0147326,37.94969753
21167,1,-106.0710134,38.35664462
9512,1,-105.9286752,40.50623441
13917,1,-105.2129018,36.22599508
8811,1,-105.6112357,42.11197606
7806,1,-107.0805097,37.35545566
2099,1,-106.9682076,37.59431743
11427,1,-106.4535878,40.48851586
3111,1,-106.9622774,38.98328963
10640,1,-106.3769397,37.00725353
21143,1,-105.883926,39.57749944
13714,1,-105.4956438,36.51983704
5415,1,-106.9087913,40.62242894
12496,1,-106.5093651,37.50422689
14462,1,-106.4163434,39.79695627
18399,1,-108.4778641,38.47359036
1300,1,-106.819417,39.77054981
17656,1,-107.196407,40.80962411
6705,1,-105.3769392,42.52527246
20348,1,-105.6061519,40.65160793
10972,1,-107.7178409,38.88858664
20401,1,-105.2691202,36.91360873
19210,1,-107.3032798,38.53660853
11261,1,-106.3494412,38.38097079
1479,1,-108.6571936,37.74860021
13465,1,-105.7136425,39.65410142
4098,1,-105.9457752,38.35364739
6667,1,-105.539473,37.86281313
20023,1,-107.263695,40.70157569
11505,1,-105.3400635,40.60047884
2167,1,-106.8102718,40.53263886
21050,1,-106.3607951,37.45164969
5816,1,-105.8679542,40.07812662
12690,1,-106.3710074,38.34944099
17864,1,-107.0279872,38.99822804
1768,1,-106.0982126,40.85365278
17749,1,-106.5601148,39.02681456
7716,1,-107.4700995,37.36195756
9332,1,-106.9539736,40.21274563
12674,1,-104.6294615,37.27845509
16183,1,-106.0826189,39.31658273
9128,1,-106.5656375,36.86295644
20778,1,-107.5349638,40.28383304
19048,1,-107.5947204,39.6918984
10484,1,-107.2987935,40.90515359
12081,1,-107.4342309,40.24039918
9923,1,-106.8668056,39.49604179
16291,1,-105.087838,38.67544302
18348,1,-107.1851733,40.09822816
8748,1,-106.2964109,40.36873923
3171,1,-106.037209,40.17090546
3026,1,-105.1594567,36.18229048
11481,1,-107.7940877,37.41390432
5234,1,-106.964783,37.7820351
8222,1,-107.1633548,39.20895669
12799,1,-106.9627482,39.5107636
20326,1,-104.907747,36.31851562
11336,1,-106.2603023,39.83644261
1495,1,-105.0810088,37.02254249
6253,1,-106.6374,38.29393042
1268,1,-106.1998558,39.43552641
2632,1,-106.5253657,38.37469029
9832,1,-104.8687571,37.38982138
15439,1,-106.4302018,38.24711673
11603,1,-106.1963342,39.88646021
12802,1,-106.9368281,40.97327441
10240,1,-108.3615276,37.68769967
17682,1,-107.1928654,39.13226575
7080,1,-105.7813019,35.89874808
11354,1,-105.202332,36.89239164
19091,1,-106.388724,37.18024003
8570,1,-106.0130276,40.07028766
19698,1,-105.7967919,39.95597062
16692,1,-108.6917686,37.74807757
5054,1,-106.9780102,37.44207435
14179,1,-106.6114047,36.09041377
19667,1,-106.2410853,36.94893078
8867,1,-106.2733092,40.39942441
14715,1,-105.8272115,35.89874072
842,1,-106.5443526,36.96307149
6864,1,-107.7726698,38.97379482
11585,1,-106.2005538,39.32301987
20240,1,-105.067108,38.96690172
19999,1,-106.3114471,41.39417723
2620,1,-108.2857034,38.30408436
17347,1,-107.6261321,38.33439481
706,1,-107.3558427,40.25797523
18343,1,-106.40342,37.45830776
11968,1,-105.4505316,39.22004862
2183,1,-107.5184122,39.09115672
18089,1,-107.8900192,38.14616354
13689,1,-106.0473938,38.99709443
19429,1,-106.9345227,40.09245464
13475,1,-107.1605946,39.01003583
1594,1,-106.4984189,41.34396694
297,1,-106.7700016,40.57767493
7641,1,-105.867258,39.94014463
392,1,-107.3153481,38.95423514
4805,1,-106.1445365,40.10150863
6613,1,-107.1983905,38.96906235
8914,1,-108.4543976,37.74424576
6101,1,-105.868317,42.68351789
11050,1,-106.86965,38.28877355
3848,1,-105.6701444,35.85360945
9047,1,-105.2807618,42.37158433
13720,1,-108.269198,38.40573917
21223,1,-105.4705946,41.38505982
21348,1,-105.6295889,35.81580989
16132,1,-107.2095132,40.31642458
6953,1,-106.4231387,41.50651144
12216,1,-106.8710709,39.46019912
12274,1,-106.5636764,41.50593125
17446,1,-106.8580378,38.89388251
9599,1,-105.2861715,39.89447656
18032,1,-106.6254365,37.83699115
792,1,-105.1967006,38.06954659
17031,1,-106.1498952,39.82758447
20029,1,-107.1980338,41.25741933
11676,1,-106.4239086,36.02688233
19776,1,-106.363777,42.71010388
13314,1,-106.5941765,36.9436019
12114,1,-108.01954,37.40209456
10556,1,-106.3664241,41.08466465
14939,1,-106.6591028,37.00731524
15329,1,-107.0996305,39.58779501
17908,1,-107.3764319,37.21583326
5356,1,-107.0552796,38.1160336
13447,1,-106.545021,36.89731235
10820,1,-108.5910621,37.71949473
19993,1,-107.1533232,38.90880219
10496,1,-107.2545287,39.67858547
20220,1,-108.0510885,39.00566461
13757,1,-105.3524597,36.67019559
1998,1,-105.4073879,42.4225764
1075,1,-106.9749213,38.77006198
17367,1,-105.5678188,36.2159968
12354,1,-107.5470994,38.32134497
9736,1,-106.9649814,38.12221417
4518,1,-107.2889256,40.34063057
16880,1,-107.6424176,39.87800542
13336,1,-106.4405339,40.38834492
3334,1,-105.1962322,41.43000227
12465,1,-107.3470591,39.66058257
21366,1,-106.7538525,37.72651046
6676,1,-107.0163341,37.63548431
8329,1,-106.5390164,37.21680663
15996,1,-106.7897504,40.23409617
362,1,-106.4696127,37.31760814
14957,1,-106.768695,39.22711605
20134,1,-105.7774894,40.61182525
20762,1,-106.4993612,37.22977331
2004,1,-106.1145782,39.81590818
18923,1,-106.1605259,40.42871562
562,1,-107.7879302,37.32092303
3737,1,-106.9742156,40.03453904
7624,1,-106.7159016,38.11899431
7671,1,-104.205178,36.90439343
19724,1,-106.6975764,39.04916718
20423,1,-107.3629242,38.59459331
10717,1,-108.0197999,37.63825714
8872,1,-106.9103827,37.51456522
3048,1,-106.8628109,35.8360327
12357,1,-108.0079836,37.29856656
21204,1,-105.4608507,36.45585517
6646,1,-107.2587011,40.10985703
14920,1,-107.9167583,39.15867509
16213,1,-106.5412284,39.02294552
1823,1,-107.666205,37.2972748
8904,1,-107.11972,37.39493217
14463,1,-108.6177252,38.58069968
6436,1,-106.0711303,38.51306063
2827,1,-108.6824252,37.75536955
2,1,-105.7679939,35.66107004
13810,1,-104.9261442,39.12563897
18247,1,-108.1129741,37.34987073
11577,1,-105.349615,38.89703974
2744,1,-107.2400149,37.14802823
12945,1,-106.7752789,39.16595155
2218,1,-107.7322191,39.00093039
9302,1,-105.1708766,38.20730908
8525,1,-107.1972909,41.32919722
16327,1,-105.6658544,39.77679167
5857,1,-105.589453,40.08681402
624,1,-105.4403745,38.90599449
8117,1,-105.4742831,40.94098522
1879,1,-107.3246815,41.48378689
18358,1,-106.8495553,40.30210639
15576,1,-107.3351641,37.10336368
10630,1,-106.8458637,36.99119231
5722,1,-105.4709704,39.23441372
14292,1,-105.534425,36.54886711
17121,1,-106.1801132,38.4338165
16350,1,-106.2560751,38.80574288
3885,1,-105.6673657,36.06753688
12191,1,-105.5134384,36.62475671
21316,1,-105.7541693,38.54657969
11605,1,-106.0439448,40.56058235
18563,1,-107.0135708,36.96772128
9957,1,-106.2857218,40.31133858
5531,1,-107.5361258,40.20509576
8863,1,-106.8024849,39.79443
20446,1,-106.3659516,36.65789066
7299,1,-106.65396,37.92835375
9924,1,-105.5326032,35.64415889
8868,1,-105.3541602,41.21814173
536,1,-107.1943842,38.95433016
4989,1,-106.0333048,40.19583079
10532,1,-105.0914724,36.32052407
5812,1,-105.548511,36.20237549
2441,1,-106.4856725,40.07275155
6054,1,-104.4941013,37.10512216
12824,1,-107.9889756,37.27413439
17101,1,-107.7888427,39.69402721
20361,1,-107.8024577,39.21381075
13861,1,-105.4279336,38.7666442
14799,1,-105.4242293,37.91168052
4313,1,-105.212911,40.66182742
8998,1,-107.0827608,39.48687329
1356,1,-104.8907998,37.93853861
16357,1,-105.6186144,38.1684987
6526,1,-106.8135622,35.90512539
5921,1,-106.983442,38.1629651
20795,1,-106.6054125,37.57783089
10923,1,-106.5593963,37.84175236
20641,1,-106.296882,39.46746973
15115,1,-108.6942953,38.75077276
16992,1,-107.2444346,39.28007428
6643,1,-107.622642,40.13677458
1878,1,-105.5517345,40.22541816
568,1,-106.2703448,40.96255613
15821,1,-105.5009794,38.05749269
4448,1,-105.4067228,38.88914308
7481,1,-106.0063156,39.74816493
4463,1,-105.7689674,40.48552512
5961,1,-106.5238061,40.35820496
5920,1,-105.4991063,36.05839496
5417,1,-105.1088613,37.38231668
11246,1,-105.8718749,40.8336472
3770,1,-105.3781175,42.34581991
8612,1,-106.0666462,40.09008217
19772,1,-104.3514398,36.94319695
5709,1,-107.1340021,38.91566479
15884,1,-104.5819645,37.04350561
9756,1,-106.5960795,39.55117097
19317,1,-107.3734896,38.98657496
2916,1,-106.3810812,38.24389323
19412,1,-107.3330927,38.05089507
20978,1,-105.3574252,36.19139357
2455,1,-108.1948725,38.439834
3688,1,-106.597215,39.62856598
381,1,-105.1132513,37.56293173
6910,1,-106.8802008,40.26622276
521,1,-106.1667708,39.06708767
8945,1,-104.3638762,37.04097623
9717,1,-106.7320499,40.88276802
20249,1,-105.5488951,36.14715669
8925,1,-105.4646268,39.60053244
6177,1,-104.9514004,37.9838734
20287,1,-107.1283336,40.79735773
19599,1,-105.5759846,36.05887286
15963,1,-106.4247482,41.25747945
13825,1,-106.1776553,36.80977949
11493,1,-108.1339123,37.8528404
4674,1,-107.58247,40.1681916
17791,1,-106.406496,38.63633514
15372,1,-107.3070814,39.83839116
10273,1,-106.228921,40.99551024
15325,1,-107.7208826,39.89286125
10121,1,-106.7326998,38.84417468
5762,1,-106.8099684,40.26223076
462,1,-106.5407794,36.82005927
6694,1,-107.0404805,39.25527407
20677,1,-106.5600898,41.30100425
9933,1,-107.8056106,37.3345745
13090,1,-107.4140026,37.7673315
8123,1,-107.3297371,40.10512441
7704,1,-105.7542117,35.95351543
17975,1,-107.2632532,39.07456237
5154,1,-105.797265,42.74949629
16575,1,-106.7103744,36.94484314
7281,1,-107.9715699,37.51896816
3768,1,-106.1258366,36.65716398
15401,1,-107.5697027,39.19701573
8232,1,-107.823101,39.13954969
9379,1,-105.6118271,39.85033673
5167,1,-107.4233009,40.79297935
13078,1,-107.6040673,38.39459093
4870,1,-106.1272007,38.52361493
20559,1,-107.7790175,37.74918212
7273,1,-106.0420655,41.13570625
5125,1,-106.174475,38.32319582
7077,1,-106.4274716,36.51825864
12176,1,-106.9168433,39.53388233
9281,1,-107.3246401,37.11019447
11565,1,-106.7892823,37.1093959
10107,1,-107.2712844,37.60932023
20389,1,-106.18495,38.39786562
4458,1,-105.6631571,42.63666822
19747,1,-106.7652144,40.12200918
10721,1,-108.0858284,37.57941158
844,1,-106.3977689,38.84172213
13257,1,-107.6414855,37.78366516
6197,1,-106.7547205,37.69285068
13209,1,-106.1794824,40.2848177
4865,1,-107.1643271,37.96196594
4565,1,-106.9355505,37.45244594
4184,1,-106.392571,41.53866183
1146,1,-107.0418617,38.74060474
7107,1,-106.7546532,38.75682672
19027,1,-107.2903213,41.05493831
3519,1,-107.4050503,39.18902376
3657,1,-107.0710003,38.55951143
18525,1,-107.2246199,41.3013719
2269,1,-106.1761053,41.15533523
7523,1,-106.8131714,38.01316748
15043,1,-106.6725116,36.98086133
9863,1,-105.0725866,38.93739652
18371,1,-107.0648716,41.08255985
11840,1,-106.6316238,37.73760153
19875,1,-106.7220384,38.75532161
6002,1,-105.1972103,40.59946787
7075,1,-108.2702957,38.3596875
10575,1,-106.3317384,38.02055877
12986,1,-107.09954,37.20987775
8308,1,-106.4252417,39.49825848
18818,1,-107.3050985,39.58521954
21136,1,-105.7484275,39.27087127
17443,1,-105.4289297,36.29888068
6649,1,-108.1319111,39.07865572
4685,1,-107.1375092,37.19786458
11656,1,-106.6823696,39.82806018
2860,1,-105.6829477,35.75264032
8373,1,-107.3943595,39.61752583
8152,1,-105.1428113,36.59834329
6971,1,-106.5438297,35.74176443
